HouseID,Address,Street,kilowattsPerHourPerMonth,gallonsPerDayPerHouse
1002,188 1/2 ADAMS STREET,1/2 ADAMS STREET,651,156
2936,194 1/2 ADAMS STREET,1/2 ADAMS STREET,577,199
6876,31 1/2 ADAMS STREET,1/2 ADAMS STREET,692,281
12678,82 1/2 BACON STREET,1/2 BACON STREET,567,238
4266,15 1/2 BELLEVUE STREET,1/2 BELLEVUE STREET,579,277
864,187 1/2 BROWN STREET,1/2 BROWN STREET,698,221
862,189 1/2 BROWN STREET,1/2 BROWN STREET,603,269
7357,251 1/2 CHARLES STREET,1/2 CHARLES STREET,637,67
5582,62 1/2 CHERRY STREET,1/2 CHERRY STREET,650,291
4124,110 1/2 CRESCENT STREET,1/2 CRESCENT STREET,565,72
5298,16 1/2 CUTTER STREET,1/2 CUTTER STREET,582,237
12098,94 1/2 FRANCIS STREET,1/2 FRANCIS STREET,617,279
10915,14 1/2 HOWARD STREET,1/2 HOWARD STREET,605,250
7900,11 1/2 LIVERPOOL LANE,1/2 LIVERPOOL LANE,667,220
7943,13 1/2 LIVERPOOL LANE,1/2 LIVERPOOL LANE,558,267
7949,12 1/2 MCKENN STREET,1/2 MCKENN STREET,689,76
8458,14 1/2 MCKENN STREET,1/2 MCKENN STREET,589,142
6102,106 1/2 PROSPECT STREET,1/2 PROSPECT STREET,564,133
6043,108 1/2 PROSPECT STREET,1/2 PROSPECT STREET,596,297
5950,110 1/2 PROSPECT STREET,1/2 PROSPECT STREET,697,144
6172,112 1/2 PROSPECT STREET,1/2 PROSPECT STREET,589,276
9421,38 1/2 PROSPECT STREET,1/2 PROSPECT STREET,586,101
8486,173 1/2 RIVER STREET,1/2 RIVER STREET,654,132
6914,182 1/2 RIVER STREET,1/2 RIVER STREET,678,160
6915,184 1/2 RIVER STREET,1/2 RIVER STREET,601,131
6910,186 1/2 RIVER STREET,1/2 RIVER STREET,668,81
6917,188 1/2 RIVER STREET,1/2 RIVER STREET,581,137
4782,208 1/2 RIVER STREET,1/2 RIVER STREET,644,60
4936,210 1/2 RIVER STREET,1/2 RIVER STREET,691,103
7181,298 1/2 RIVER STREET,1/2 RIVER STREET,690,203
1467,82 1/2 ROBBINS STREET,1/2 ROBBINS STREET,630,290
4400,13 1/2 TAYLOR STREET,1/2 TAYLOR STREET,697,77
6719,194 1/2 WILLOW STREET,1/2 WILLOW STREET,601,66
6718,196 1/2 WILLOW STREET,1/2 WILLOW STREET,661,182
20319,15 ABBOTT ROAD,ABBOTT ROAD,627,230
21570,22 ABBOTT ROAD,ABBOTT ROAD,632,258
21497,33 ABBOTT ROAD,ABBOTT ROAD,642,67
21844,34 ABBOTT ROAD,ABBOTT ROAD,567,240
20608,39 ABBOTT ROAD,ABBOTT ROAD,621,134
20616,4 ABBOTT ROAD,ABBOTT ROAD,640,268
20387,40 ABBOTT ROAD,ABBOTT ROAD,585,69
20449,5 ABBOTT ROAD,ABBOTT ROAD,570,279
19876,50 ABBOTT ROAD,ABBOTT ROAD,596,203
9895,14 ABERDEEN AVENUE,ABERDEEN AVENUE,555,202
7249,19 ABERDEEN AVENUE,ABERDEEN AVENUE,700,129
7684,20 ABERDEEN AVENUE,ABERDEEN AVENUE,671,241
7674,27 ABERDEEN AVENUE,ABERDEEN AVENUE,571,253
7736,30 ABERDEEN AVENUE,ABERDEEN AVENUE,663,282
7800,34 ABERDEEN AVENUE,ABERDEEN AVENUE,620,134
7559,35 ABERDEEN AVENUE,ABERDEEN AVENUE,668,276
6746,40 ABERDEEN AVENUE,ABERDEEN AVENUE,674,179
6892,43 ABERDEEN AVENUE,ABERDEEN AVENUE,557,71
10139,5 ABERDEEN AVENUE,ABERDEEN AVENUE,655,137
5917,50 ABERDEEN AVENUE,ABERDEEN AVENUE,618,104
